VideoTitle,VideoDate,nLikes,nComments,nViews,Duration(seconds),VideoAge(Days),Like/ViewsRatio,Comments/ViewsRatio
I Spent 24 Hours Straight In Prison - Challenge,2018-12-19T21:05:02Z,2116213,74021,119494620,781,2527,0.018,0.0006
Donating $10000 To Pewdiepie,2018-12-16T21:05:02Z,1728005,49099,47395158,915,2530,0.036,0.001
"Last Youtuber To Leave Wins $100,000 - Challenge",2018-12-12T21:00:02Z,2162607,94585,106346666,1479,2534,0.02,0.0009
I Put Millions Of Pennies In My Friends Backyard,2018-12-08T21:05:02Z,2847278,64141,188700186,881,2538,0.015,0.0003
Surprising TFue With A Fortnite Battle Bus In Real Life,2018-12-07T22:11:00Z,1890647,63005,103128324,865,2539,0.018,0.0006
I Built A Giant House Using Only Legos,2018-12-02T20:05:01Z,1036365,48650,65251943,829,2544,0.016,0.0007
"Last To Leave Slime Pit Wins $20,000 - Challenge",2018-11-30T21:11:01Z,2414429,73025,150758362,1070,2546,0.016,0.0005
"Saying Pewdiepie 100,000 Times",2018-11-25T21:07:01Z,1689491,166557,26658969,42520,2551,0.063,0.0062
Destroyed Friend's House And Bought Him A New One,2018-11-24T21:06:01Z,1129985,67845,43906425,878,2552,0.026,0.0015
I Put 100 Million Orbeez In My Friend's Backyard,2018-11-22T21:08:01Z,5361098,138512,246228937,885,2554,0.022,0.0006
"Spending $40,000 In One Hour Challenge",2018-11-17T21:06:02Z,931462,54446,44908539,843,2559,0.021,0.0012
"Giving My 10,000,000th Subscriber 10,000,000 ___",2018-11-13T21:05:04Z,815470,32096,29881706,1099,2563,0.027,0.0011
"$10,000 Games Of Rock Paper Scissors",2018-11-04T21:05:02Z,512592,25009,18639640,787,2572,0.028,0.0013
"You Pick The Right Cup, You Win $100,000!",2018-10-28T20:06:01Z,974631,35319,36308597,1055,2579,0.027,0.001
I Bought Every Billboard In My City For This,2018-10-26T21:06:02Z,1314613,105246,38844299,931,2581,0.034,0.0027
"Ordering Water Then Tipping $30,000",2018-10-23T20:11:02Z,1201186,46298,46151515,705,2584,0.026,0.001
"I Spent $50,000 On Lottery Tickets And Won ____",2018-10-19T21:05:02Z,746340,33261,31400866,1014,2588,0.024,0.0011
"Last To Leave Circle Wins $10,000 - Challenge",2018-10-12T22:05:04Z,1672280,59052,98275417,996,2595,0.017,0.0006
I Spent 24 Hours Straight In Slime,2018-10-09T20:05:02Z,936218,32804,44055538,878,2598,0.021,0.0007
"Surprising Tfue With $10,000 Live - Fortnite",2018-10-04T20:07:01Z,1535643,46965,75104729,923,2603,0.02,0.0006
"I Spent $30,000 On Lottery Tickets And Won ____",2018-09-28T21:05:00Z,426058,21601,17364459,1052,2609,0.025,0.0012
